Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,Height_m,BMI,Gender_male,BMI_Category_Overweight,Age_Group_Senior,Age_Group_Young,Workout_Intensity_Moderate
42,165.0,68.0,22.0,93.0,40.8,107.0,1.65,24.977043158861346,False,False,True,False,False
22,182.0,84.0,29.0,114.0,41.0,200.0,1.82,25.35925612848689,True,True,False,True,True
74,158.0,59.0,10.0,93.0,39.6,56.0,1.58,23.63403300753084,False,False,True,False,False
70,154.0,59.0,10.0,88.0,40.0,50.0,1.54,24.87771968291449,False,False,True,False,False
26,182.0,80.0,21.0,96.0,40.5,100.0,1.82,24.151672503320853,False,False,False,False,False
44,184.0,86.0,25.0,114.0,40.8,200.0,1.84,25.401701323251416,True,True,True,False,True
61,183.0,86.0,1.0,81.0,38.3,4.0,1.83,25.68007405416704,True,True,True,False,False
68,157.0,57.0,13.0,92.0,40.1,70.0,1.57,23.124670372023203,False,False,True,False,False
61,176.0,70.0,20.0,104.0,40.5,127.0,1.76,22.59814049586777,False,False,True,False,True
63,179.0,80.0,25.0,108.0,40.8,197.0,1.79,24.9680097375238,True,False,True,False,True
54,171.0,66.0,20.0,98.0,40.1,113.0,1.71,22.571047501795427,False,False,True,False,False
54,169.0,66.0,3.0,80.0,38.9,11.0,1.69,23.1084345786212,False,False,True,False,False
47,155.0,55.0,16.0,93.0,40.5,82.0,1.55,22.892819979188346,False,False,True,False,False
33,184.0,86.0,8.0,86.0,39.9,26.0,1.84,25.401701323251416,True,True,False,False,False
24,171.0,66.0,24.0,105.0,40.6,141.0,1.71,22.571047501795427,False,False,False,True,True
24,195.0,98.0,20.0,96.0,40.6,92.0,1.95,25.77251808021039,True,True,False,True,False
48,152.0,59.0,2.0,79.0,38.0,5.0,1.52,25.536703601108037,True,True,True,False,False
35,193.0,93.0,10.0,83.0,39.7,30.0,1.93,24.967113211092915,True,False,False,False,False
21,168.0,71.0,3.0,78.0,38.5,3.0,1.68,25.15589569160998,True,True,False,True,False
21,179.0,73.0,9.0,90.0,39.6,37.0,1.79,22.783308885490467,False,False,False,True,False
22,158.0,62.0,25.0,105.0,40.6,147.0,1.58,24.83576349943919,False,False,False,True,True
69,174.0,69.0,2.0,80.0,38.1,8.0,1.74,22.79032897344431,False,False,True,False,False
53,191.0,101.0,21.0,106.0,40.7,159.0,1.91,27.68564458211124,True,True,True,False,True
68,155.0,58.0,15.0,100.0,40.3,93.0,1.55,24.141519250780437,False,False,True,False,True
69,164.0,65.0,23.0,113.0,40.4,173.0,1.64,24.167162403331357,False,False,True,False,True
28,198.0,101.0,19.0,95.0,40.6,89.0,1.98,25.762677277828796,True,True,False,False,False
70,188.0,89.0,7.0,82.0,39.3,31.0,1.88,25.18107741059303,True,True,True,False,False
36,170.0,64.0,9.0,84.0,39.6,35.0,1.7,22.145328719723185,False,False,False,False,False
77,177.0,80.0,16.0,98.0,40.6,94.0,1.77,25.53544639152223,False,True,True,False,False
32,167.0,63.0,9.0,99.0,39.7,49.0,1.67,22.58955143605005,False,False,False,False,False
62,185.0,77.0,13.0,84.0,40.4,54.0,1.85,22.4981738495252,False,False,True,False,False
64,151.0,56.0,20.0,97.0,40.4,117.0,1.51,24.560326301478007,False,False,True,False,False
45,175.0,79.0,27.0,104.0,40.6,173.0,1.75,25.79591836734694,True,True,True,False,True
45,158.0,61.0,20.0,97.0,40.7,99.0,1.58,24.435186668803077,True,False,True,False,False
22,177.0,71.0,10.0,93.0,39.8,45.0,1.77,22.66270867247598,False,False,False,True,False
45,169.0,69.0,22.0,113.0,40.6,166.0,1.69,24.158817968558527,True,False,True,False,True
66,174.0,69.0,28.0,111.0,40.9,202.0,1.74,22.79032897344431,False,False,True,False,True
31,182.0,83.0,20.0,101.0,40.9,107.0,1.82,25.057360222195385,True,True,False,False,True
57,163.0,68.0,29.0,109.0,40.7,199.0,1.63,25.59373706198954,False,True,True,False,True
53,192.0,93.0,5.0,90.0,39.1,25.0,1.92,25.227864583333336,True,True,True,False,False
22,179.0,67.0,8.0,77.0,39.5,23.0,1.79,20.91070815517618,False,False,False,True,False
67,192.0,92.0,24.0,108.0,40.7,200.0,1.92,24.95659722222222,True,False,True,False,True
27,168.0,64.0,2.0,76.0,38.2,6.0,1.68,22.67573696145125,False,False,False,False,False
57,178.0,83.0,2.0,79.0,38.1,7.0,1.78,26.19618735008206,True,True,True,False,False
49,168.0,68.0,20.0,99.0,40.6,113.0,1.68,24.092970521541957,False,False,True,False,False
39,168.0,63.0,29.0,108.0,40.7,188.0,1.68,22.321428571428577,False,False,False,False,True
47,165.0,72.0,20.0,96.0,40.3,103.0,1.65,26.44628099173554,True,True,True,False,False
62,197.0,101.0,17.0,103.0,40.3,128.0,1.97,26.02489113349996,True,True,True,False,True
41,187.0,89.0,23.0,99.0,40.7,130.0,1.87,25.45111384369012,True,True,True,False,False
34,144.0,50.0,7.0,83.0,39.3,27.0,1.44,24.11265432098765,False,False,False,False,False
40,163.0,62.0,27.0,111.0,41.2,185.0,1.63,23.335466144755166,False,False,True,False,True
55,155.0,57.0,11.0,92.0,39.8,57.0,1.55,23.725286160249738,False,False,True,False,False
44,189.0,88.0,13.0,94.0,40.0,65.0,1.89,24.635368550712467,True,False,True,False,False
45,160.0,60.0,16.0,99.0,40.4,91.0,1.6,23.4375,False,False,True,False,False
49,164.0,64.0,19.0,105.0,40.4,120.0,1.64,23.795359904818564,False,False,True,False,True
46,166.0,68.0,12.0,101.0,40.1,70.0,1.66,24.677021338365517,False,False,True,False,True
25,202.0,100.0,9.0,94.0,39.8,39.0,2.02,24.50740123517302,True,False,False,False,False
68,171.0,80.0,22.0,95.0,40.5,136.0,1.71,27.358845456721728,True,True,True,False,False
25,169.0,64.0,14.0,101.0,40.2,77.0,1.69,22.40817898532965,False,False,False,False,True
31,174.0,67.0,9.0,93.0,39.5,42.0,1.74,22.12973972783723,False,False,False,False,False
57,184.0,91.0,7.0,95.0,39.2,41.0,1.84,26.87854442344045,True,True,True,False,False
27,159.0,59.0,14.0,88.0,39.9,59.0,1.59,23.337684427040067,False,False,False,False,False
40,201.0,98.0,24.0,110.0,40.7,179.0,2.01,24.2568253261058,True,False,True,False,True
57,171.0,74.0,2.0,73.0,38.6,6.0,1.71,25.3069320474676,False,True,True,False,False
23,155.0,62.0,5.0,74.0,39.2,13.0,1.55,25.806451612903224,False,True,False,True,False
23,189.0,87.0,23.0,110.0,40.0,147.0,1.89,24.35542118081801,True,False,False,True,True
43,183.0,88.0,26.0,107.0,40.7,180.0,1.83,26.27728507868255,True,True,True,False,True
74,201.0,107.0,14.0,96.0,40.1,101.0,2.01,26.484492958095103,True,True,True,False,False
45,158.0,53.0,23.0,106.0,40.7,150.0,1.58,21.230572023714146,False,False,True,False,True
31,165.0,60.0,25.0,115.0,40.8,179.0,1.65,22.03856749311295,False,False,False,False,True
21,195.0,93.0,6.0,93.0,39.2,23.0,1.95,24.45759368836292,True,False,False,True,False
50,190.0,96.0,3.0,80.0,38.3,10.0,1.9,26.59279778393352,True,True,True,False,False
39,175.0,74.0,9.0,93.0,39.5,39.0,1.75,24.163265306122447,True,False,False,False,False
57,169.0,81.0,30.0,112.0,40.9,247.0,1.69,28.360351528307834,True,True,True,False,True
26,159.0,53.0,19.0,92.0,40.5,89.0,1.59,20.96436058700209,False,False,False,False,False
34,181.0,83.0,25.0,102.0,40.9,141.0,1.81,25.33500198406642,True,True,False,False,True
55,160.0,62.0,4.0,87.0,39.1,18.0,1.6,24.21875,False,False,True,False,False
52,171.0,67.0,15.0,89.0,40.6,70.0,1.71,22.91303307000445,False,False,True,False,False
21,188.0,90.0,29.0,110.0,40.8,185.0,1.88,25.46401086464464,True,True,False,True,True
20,136.0,45.0,11.0,94.0,40.1,54.0,1.36,24.329584775086506,False,False,False,True,False
79,152.0,60.0,29.0,107.0,40.8,207.0,1.52,25.969529085872576,False,True,True,False,True
21,189.0,91.0,27.0,114.0,41.0,189.0,1.89,25.475210660395845,True,True,False,True,True
50,171.0,74.0,2.0,82.0,38.1,6.0,1.71,25.3069320474676,True,True,True,False,False
29,180.0,76.0,12.0,97.0,39.9,60.0,1.8,23.456790123456788,False,False,False,False,False
22,194.0,92.0,6.0,92.0,39.0,23.0,1.94,24.44468062493357,True,False,False,True,False
28,158.0,60.0,27.0,113.0,40.8,186.0,1.58,24.03460983816696,False,False,False,False,True
38,188.0,93.0,28.0,104.0,40.9,178.0,1.88,26.312811226799457,True,True,False,False,True
23,169.0,73.0,25.0,102.0,40.7,122.0,1.69,25.55932915514163,True,True,False,True,True
68,159.0,68.0,24.0,108.0,40.5,166.0,1.59,26.897670187097027,False,True,True,False,True
79,176.0,86.0,20.0,102.0,40.1,158.0,1.76,27.76342975206612,True,True,True,False,True
35,182.0,70.0,2.0,83.0,38.4,7.0,1.82,21.132713440405748,False,False,False,False,False
67,201.0,96.0,18.0,105.0,40.5,143.0,2.01,23.761788074552616,True,False,True,False,True
21,156.0,52.0,12.0,82.0,39.8,43.0,1.56,21.36752136752137,False,False,False,True,False
44,143.0,49.0,17.0,92.0,40.2,86.0,1.43,23.96205193407991,False,False,True,False,False
43,175.0,72.0,23.0,100.0,40.7,128.0,1.75,23.51020408163265,False,False,True,False,True
21,186.0,79.0,29.0,111.0,41.0,182.0,1.86,22.835009827725745,True,False,False,True,True
32,170.0,70.0,10.0,98.0,39.7,52.0,1.7,24.221453287197235,False,False,False,False,False
79,179.0,91.0,27.0,107.0,40.4,236.0,1.79,28.40111107643332,True,True,True,False,True
51,192.0,96.0,19.0,97.0,40.6,114.0,1.92,26.041666666666668,True,True,True,False,False
60,174.0,67.0,11.0,99.0,39.7,64.0,1.74,22.12973972783723,False,False,True,False,False
49,184.0,86.0,26.0,103.0,40.8,171.0,1.84,25.401701323251416,True,True,True,False,True
46,179.0,84.0,6.0,82.0,39.2,19.0,1.79,26.216410224399983,True,True,True,False,False
35,149.0,54.0,21.0,111.0,40.5,144.0,1.49,24.32322868339264,False,False,False,False,True
31,172.0,76.0,9.0,94.0,39.7,37.0,1.72,25.689561925365066,True,True,False,False,False
42,185.0,78.0,26.0,110.0,41.4,185.0,1.85,22.79035792549306,True,False,True,False,True
66,174.0,69.0,13.0,87.0,39.8,60.0,1.74,22.79032897344431,False,False,True,False,False
52,189.0,90.0,22.0,96.0,40.5,127.0,1.89,25.195263290501387,True,True,True,False,False
59,166.0,73.0,23.0,101.0,40.4,149.0,1.66,26.491508201480624,True,True,True,False,True
23,169.0,71.0,16.0,102.0,40.1,78.0,1.69,24.85907356185008,True,False,False,True,True
49,164.0,63.0,5.0,91.0,38.9,24.0,1.64,23.423557406305772,False,False,True,False,False
25,157.0,57.0,23.0,107.0,40.8,143.0,1.57,23.124670372023203,False,False,False,False,True
20,188.0,84.0,27.0,104.0,41.0,143.0,1.88,23.766410140334997,True,False,False,True,True
28,163.0,66.0,15.0,94.0,40.1,71.0,1.63,24.84098008957808,False,False,False,False,False
60,182.0,90.0,11.0,90.0,40.2,58.0,1.82,27.17063156623596,True,True,True,False,False
29,178.0,77.0,15.0,95.0,40.4,71.0,1.78,24.30248705971468,False,False,False,False,False
40,184.0,87.0,5.0,88.0,39.5,20.0,1.84,25.697069943289225,True,True,True,False,False
26,191.0,93.0,17.0,96.0,40.3,78.0,1.91,25.492722238973712,True,True,False,False,False
26,176.0,76.0,19.0,97.0,40.4,93.0,1.76,24.535123966942148,False,False,False,False,False
25,158.0,58.0,6.0,90.0,39.2,17.0,1.58,23.233456176894723,True,False,False,False,False
60,190.0,87.0,3.0,84.0,38.9,12.0,1.9,24.099722991689752,False,False,True,False,False
25,181.0,81.0,23.0,101.0,40.8,115.0,1.81,24.724520008546747,True,False,False,False,True
39,165.0,65.0,19.0,106.0,40.6,119.0,1.65,23.875114784205696,False,False,False,False,True
30,153.0,53.0,26.0,108.0,40.6,168.0,1.53,22.64086462471699,False,False,False,False,True
23,198.0,100.0,12.0,90.0,40.4,44.0,1.98,25.507601265177023,True,True,False,True,False
37,148.0,51.0,29.0,108.0,40.6,192.0,1.48,23.283418553688826,False,False,False,False,True
22,147.0,47.0,17.0,101.0,40.3,96.0,1.47,21.75019667731038,False,False,False,True,True
26,170.0,68.0,23.0,105.0,40.7,135.0,1.7,23.529411764705884,False,False,False,False,True
56,167.0,60.0,12.0,86.0,40.2,54.0,1.67,21.513858510523864,False,False,True,False,False
43,171.0,79.0,30.0,115.0,40.8,239.0,1.71,27.01685988851271,True,True,True,False,True
38,169.0,65.0,14.0,94.0,40.1,69.0,1.69,22.758306781975424,False,False,False,False,False
24,179.0,80.0,14.0,90.0,40.7,46.0,1.79,24.9680097375238,True,False,False,True,False
25,164.0,63.0,21.0,101.0,40.7,115.0,1.64,23.423557406305772,False,False,False,False,True
31,163.0,62.0,4.0,88.0,39.1,17.0,1.63,23.335466144755166,False,False,False,False,False
54,151.0,57.0,25.0,115.0,40.4,190.0,1.51,24.998903556861546,False,False,True,False,True
34,190.0,91.0,12.0,89.0,40.2,48.0,1.9,25.207756232686982,False,True,False,False,False
28,176.0,72.0,27.0,112.0,40.7,178.0,1.76,23.243801652892564,False,False,False,False,True
24,191.0,95.0,6.0,88.0,39.3,20.0,1.91,26.040952824758094,True,True,False,True,False
27,167.0,69.0,15.0,90.0,40.4,64.0,1.67,24.740937287102444,False,False,False,False,False
35,154.0,57.0,19.0,94.0,40.6,95.0,1.54,24.034407151290267,False,False,False,False,False
49,183.0,89.0,25.0,111.0,40.8,196.0,1.83,26.575890590940304,True,True,True,False,True
36,185.0,91.0,2.0,91.0,38.1,9.0,1.85,26.588750913075238,True,True,False,False,False
58,192.0,83.0,18.0,101.0,40.8,105.0,1.92,22.51519097222222,False,False,True,False,True
40,157.0,61.0,12.0,92.0,40.0,58.0,1.57,24.747454257779214,False,False,True,False,False
31,179.0,77.0,24.0,97.0,40.8,111.0,1.79,24.031709372366656,True,False,False,False,False
50,182.0,86.0,17.0,101.0,40.3,108.0,1.82,25.96304794106992,True,True,True,False,True
36,202.0,109.0,6.0,87.0,39.1,24.0,2.02,26.713067346338597,True,True,False,False,False
34,163.0,61.0,13.0,96.0,40.1,67.0,1.63,22.95908765854944,False,False,False,False,False
78,153.0,54.0,13.0,84.0,40.3,62.0,1.53,23.06805074971165,False,False,True,False,False
41,178.0,76.0,28.0,104.0,40.8,172.0,1.78,23.98687034465345,True,False,True,False,True
41,172.0,71.0,7.0,87.0,39.5,24.0,1.72,23.99945916711736,True,False,True,False,False
24,178.0,77.0,19.0,98.0,40.1,84.0,1.78,24.30248705971468,True,False,False,True,False
67,173.0,69.0,20.0,105.0,40.5,132.0,1.73,23.054562464499316,False,False,True,False,True
47,179.0,75.0,25.0,110.0,40.7,167.0,1.79,23.40750912892856,False,False,True,False,True
42,154.0,52.0,17.0,101.0,40.6,101.0,1.54,21.92612582222972,False,False,True,False,True
25,180.0,75.0,23.0,97.0,40.6,113.0,1.8,23.148148148148145,False,False,False,False,False
25,179.0,78.0,17.0,101.0,40.3,84.0,1.79,24.343809494085704,True,False,False,False,True
58,165.0,68.0,6.0,88.0,39.4,28.0,1.65,24.977043158861346,False,False,True,False,False
68,191.0,98.0,22.0,99.0,41.0,157.0,1.91,26.863298703434666,True,True,True,False,False
24,181.0,91.0,14.0,97.0,40.4,64.0,1.81,27.776929886145112,True,True,False,True,False
38,192.0,92.0,21.0,104.0,40.6,133.0,1.92,24.95659722222222,True,False,False,False,True
26,164.0,59.0,23.0,108.0,40.5,145.0,1.64,21.936347412254616,False,False,False,False,True
64,178.0,83.0,24.0,103.0,41.0,174.0,1.78,26.19618735008206,True,True,True,False,True
49,174.0,75.0,7.0,93.0,39.2,34.0,1.74,24.77209671026556,False,False,True,False,False
73,158.0,57.0,29.0,103.0,40.9,193.0,1.58,22.832879346258608,False,False,True,False,True
27,180.0,86.0,24.0,107.0,40.7,147.0,1.8,26.54320987654321,True,True,False,False,True
66,171.0,72.0,18.0,105.0,40.5,133.0,1.71,24.62296091104956,True,False,True,False,True
39,199.0,104.0,26.0,101.0,40.7,161.0,1.99,26.26196308174036,True,True,False,False,True
30,168.0,62.0,6.0,76.0,39.4,18.0,1.68,21.9671201814059,False,False,False,False,False
76,187.0,96.0,12.0,96.0,40.1,85.0,1.87,27.45288684263204,True,True,True,False,False
60,193.0,90.0,15.0,95.0,40.0,90.0,1.93,24.161722462347985,True,False,True,False,False
54,188.0,90.0,23.0,108.0,40.9,176.0,1.88,25.46401086464464,True,True,True,False,True
49,166.0,66.0,11.0,89.0,39.6,51.0,1.66,23.95122659311947,False,False,True,False,False
24,173.0,66.0,7.0,82.0,39.3,24.0,1.73,22.052190183434128,False,False,False,True,False
28,161.0,57.0,6.0,83.0,39.5,22.0,1.61,21.98989236526368,False,False,False,False,False
72,197.0,102.0,25.0,106.0,40.9,212.0,1.97,26.282563322940558,True,True,True,False,True
32,171.0,78.0,29.0,112.0,40.9,201.0,1.71,26.674874320303687,True,True,False,False,True
36,159.0,59.0,17.0,93.0,40.3,83.0,1.59,23.337684427040067,False,False,False,False,False
65,204.0,103.0,14.0,93.0,40.1,87.0,2.04,24.75009611687812,True,False,True,False,False
36,163.0,67.0,27.0,97.0,40.7,141.0,1.63,25.21735857578381,False,True,False,False,False
32,159.0,63.0,23.0,103.0,40.3,134.0,1.59,24.91990032039872,False,False,False,False,True
42,180.0,84.0,2.0,80.0,38.6,5.0,1.8,25.925925925925924,True,True,True,False,False
34,191.0,94.0,29.0,109.0,40.9,201.0,1.91,25.766837531865903,True,True,False,False,True
34,181.0,78.0,3.0,86.0,38.2,9.0,1.81,23.80879704526724,True,False,False,False,False
26,191.0,86.0,8.0,83.0,39.3,20.0,1.91,23.573915188728375,True,False,False,False,False
31,203.0,105.0,29.0,113.0,40.8,221.0,2.03,25.47987090198744,True,True,False,False,True
64,157.0,63.0,17.0,105.0,40.1,112.0,1.57,25.558846200657225,False,True,True,False,True
34,185.0,93.0,20.0,99.0,40.3,108.0,1.85,27.173119065010955,True,True,False,False,False
63,204.0,112.0,29.0,110.0,40.4,257.0,2.04,26.91272587466359,True,True,True,False,True
44,194.0,87.0,27.0,108.0,40.8,192.0,1.94,23.11616537357849,True,False,True,False,True
36,190.0,96.0,17.0,90.0,40.3,72.0,1.9,26.59279778393352,True,True,False,False,False
41,173.0,71.0,28.0,104.0,41.2,169.0,1.73,23.722810651876102,True,False,True,False,True
73,168.0,77.0,18.0,97.0,40.3,120.0,1.68,27.281746031746035,True,True,True,False,False
31,186.0,85.0,28.0,106.0,40.8,172.0,1.86,24.56931437160365,True,False,False,False,True
22,179.0,73.0,10.0,84.0,39.9,21.0,1.79,22.783308885490467,True,False,False,True,False
34,161.0,56.0,18.0,102.0,40.6,105.0,1.61,21.60410477990818,False,False,False,False,True
21,168.0,65.0,25.0,109.0,40.3,156.0,1.68,23.030045351473927,False,False,False,True,True
22,145.0,50.0,3.0,89.0,38.7,13.0,1.45,23.78121284185493,False,False,False,True,False
33,190.0,97.0,24.0,100.0,40.8,134.0,1.9,26.869806094182827,True,True,False,False,True
51,157.0,60.0,21.0,103.0,40.4,130.0,1.57,24.341758286340216,False,False,True,False,True
45,195.0,99.0,2.0,83.0,37.9,7.0,1.95,26.035502958579883,True,True,True,False,False
33,175.0,67.0,25.0,101.0,41.1,140.0,1.75,21.877551020408163,False,False,False,False,True
47,198.0,97.0,7.0,91.0,39.3,34.0,1.98,24.742373227221712,True,False,True,False,False
70,175.0,74.0,9.0,79.0,40.0,34.0,1.75,24.163265306122447,False,False,True,False,False
77,160.0,63.0,8.0,92.0,39.5,44.0,1.6,24.609375,False,False,True,False,False
35,172.0,71.0,11.0,85.0,39.9,42.0,1.72,23.99945916711736,False,False,False,False,False
44,161.0,60.0,2.0,89.0,38.4,9.0,1.61,23.147255121330197,False,False,True,False,False
71,164.0,60.0,18.0,97.0,40.5,107.0,1.64,22.308149910767405,False,False,True,False,False
54,174.0,75.0,9.0,87.0,39.6,39.0,1.74,24.77209671026556,False,False,True,False,False
63,166.0,68.0,26.0,108.0,40.8,178.0,1.66,24.677021338365517,False,False,True,False,True
50,149.0,55.0,13.0,101.0,40.4,79.0,1.49,24.77365884419621,False,False,True,False,True
63,200.0,105.0,15.0,102.0,40.3,113.0,2.0,26.25,True,True,True,False,True
30,163.0,58.0,22.0,109.0,40.5,143.0,1.63,21.82995219993225,False,False,False,False,True
33,163.0,57.0,4.0,84.0,38.7,16.0,1.63,21.453573713726524,False,False,False,False,False
38,189.0,91.0,24.0,100.0,40.5,137.0,1.89,25.475210660395845,True,True,False,False,True
20,183.0,81.0,17.0,97.0,40.5,71.0,1.83,24.187046492878256,True,False,False,True,False
67,159.0,62.0,13.0,94.0,40.2,72.0,1.59,24.52434634705905,False,False,True,False,False
24,188.0,90.0,14.0,103.0,40.1,76.0,1.88,25.46401086464464,True,True,False,True,True
30,197.0,103.0,27.0,109.0,40.5,187.0,1.97,26.540235512381148,True,True,False,False,True
35,145.0,49.0,18.0,103.0,40.2,109.0,1.45,23.30558858501784,False,False,False,False,True
63,176.0,79.0,29.0,111.0,40.5,204.0,1.76,25.50361570247934,False,True,True,False,True
50,157.0,60.0,6.0,91.0,39.4,29.0,1.57,24.341758286340216,False,False,True,False,False
33,200.0,101.0,17.0,98.0,40.5,91.0,2.0,25.25,True,True,False,False,False
36,163.0,58.0,4.0,84.0,39.0,16.0,1.63,21.82995219993225,False,False,False,False,False
75,187.0,97.0,7.0,84.0,39.1,36.0,1.87,27.738854413909458,True,True,True,False,False
56,184.0,93.0,13.0,97.0,39.9,80.0,1.84,27.469281663516067,True,True,True,False,False
50,182.0,75.0,22.0,111.0,40.6,151.0,1.82,22.6421929718633,False,False,True,False,True
24,183.0,80.0,27.0,116.0,40.6,195.0,1.83,23.888440980620494,True,False,False,True,True
32,172.0,72.0,8.0,80.0,39.5,26.0,1.72,24.337479718766904,False,False,False,False,False
49,193.0,100.0,22.0,99.0,40.5,138.0,1.93,26.84635829149776,True,True,True,False,False
77,170.0,65.0,3.0,89.0,39.0,15.0,1.7,22.49134948096886,False,False,True,False,False
67,171.0,75.0,19.0,97.0,40.5,120.0,1.71,25.64891761567662,True,True,True,False,False
23,182.0,81.0,30.0,112.0,41.0,197.0,1.82,24.45356840961236,True,False,False,True,True
37,192.0,95.0,21.0,98.0,40.7,114.0,1.92,25.77039930555556,True,True,False,False,False
35,163.0,59.0,20.0,107.0,40.6,127.0,1.63,22.20633068613798,False,False,False,False,True
34,185.0,83.0,23.0,97.0,40.8,112.0,1.85,24.25127830533236,True,False,False,False,False
49,168.0,67.0,21.0,98.0,40.4,116.0,1.68,23.73866213151928,False,False,True,False,False
69,156.0,61.0,8.0,83.0,39.4,35.0,1.56,25.06574621959237,False,True,True,False,False
49,194.0,101.0,16.0,103.0,40.4,110.0,1.94,26.83600807737273,True,True,True,False,True
41,150.0,51.0,22.0,95.0,40.2,117.0,1.5,22.666666666666668,False,False,True,False,False
42,195.0,95.0,17.0,105.0,40.2,115.0,1.95,24.983563445101908,True,False,True,False,True
52,188.0,93.0,21.0,107.0,40.6,157.0,1.88,26.312811226799457,True,True,True,False,True
26,158.0,60.0,12.0,91.0,40.0,54.0,1.58,24.03460983816696,False,False,False,False,False
79,178.0,80.0,25.0,104.0,40.5,163.0,1.78,25.24933720489837,False,True,True,False,True
72,172.0,82.0,19.0,107.0,40.5,156.0,1.72,27.717685235262305,True,True,True,False,True
34,195.0,92.0,10.0,91.0,39.9,42.0,1.95,24.194608809993422,True,False,False,False,False
60,152.0,50.0,7.0,89.0,39.8,35.0,1.52,21.641274238227147,False,False,True,False,False
45,158.0,57.0,7.0,91.0,39.3,34.0,1.58,22.832879346258608,False,False,True,False,False
33,188.0,92.0,19.0,98.0,40.4,99.0,1.88,26.02987777274785,True,True,False,False,False
56,192.0,97.0,20.0,109.0,40.5,161.0,1.92,26.31293402777778,True,True,True,False,True
21,153.0,54.0,8.0,94.0,39.8,38.0,1.53,23.06805074971165,False,False,False,True,False
50,161.0,61.0,18.0,99.0,40.5,104.0,1.61,23.53304270668569,False,False,True,False,False
60,184.0,86.0,27.0,105.0,41.0,200.0,1.84,25.401701323251416,True,True,True,False,True
39,162.0,72.0,28.0,108.0,40.7,183.0,1.62,27.43484224965706,True,True,False,False,True
48,175.0,75.0,19.0,110.0,40.7,140.0,1.75,24.489795918367346,True,False,True,False,True
38,163.0,65.0,19.0,97.0,40.5,100.0,1.63,24.46460160337235,False,False,False,False,False
